sample	PC1	PC2	condition
OR-01	-9.8012998837934	13.3936889412393	OR
OR-04	-15.8183210209948	-6.24156770593596	OR
OR-07	-5.87331381682566	4.33735872281492	OR
OR-09	-28.4734029859647	23.6794550366089	OR
OR-10	-5.41174118659256	-9.68483709854689	OR
OR-13	-5.60439944708867	-3.71098840684404	OR
OR-20	-24.6754341117862	-7.61475240425331	OR
OR-23	-27.7799372297071	-41.8147971992283	OR
OR-25	17.0571322936285	-12.9984339666207	OR
PD-02	1.37442540790876	8.11840924885578	PD
PD-03	-10.3253219423074	21.2264171094027	PD
PD-04	11.8008873730492	5.62670303081157	PD
PD-06	3.93361059633407	1.10147992604742	PD
PD-07	11.7247107866752	10.812780518203	PD
PD-08	35.0059123524966	-16.1388114266437	PD
PD-09	21.0229474054241	6.91428821222936	PD
PD-10	4.71532394872504	5.34799136755157	PD
PD-11	27.128221460819	-2.35438390569161	PD
